Name,Total,Hospital,Local clinic,Rehabilitation and nursing hospital,"Health station at commune, ward, office, enterprise"
CA NUOC,12407,963,621,35,10757
Dong bang song Hong,2489,210,89,8,2170
Ha Noi,673,41,49,..,577
Ha Tay,..,..,..,..,..
Vinh Phuc,162,14,8,1,139
Bac Ninh,140,12,..,1,126
Quang Ninh,218,19,11,1,186
Hai Duong,291,19,5,1,265
Hai Phuong,251,23,2,1,224
Hung Yen,179,17,..,..,162
Thai Binh,24,22,..,1,..
Ha Nam,131,12,2,..,116
Nam Dinh,248,18,..,1,229
Ninh Binh,172,13,12,1,146
Trung du va mien nui phia Bac,2940,187,218,8,2524
Ha Giang,211,14,19,1,177
Cao Bang,235,16,20,..,199
Bac Kan,133,9,2,..,122
Tuyen Quang,166,12,12,1,141
Lao Cai,213,12,36,1,164
Yen Bai,213,14,19,..,180
Thai Nguyen,209,13,13,1,181
Lang Son,264,13,24,1,226
Bac Giang,249,15,3,1,230
Phu Tho,294,16,..,1,277
Dien Bien,144,13,18,..,112
Lai Chau,128,10,15,..,103
Son La,238,16,16,1,204
Hoa Binh,243,14,21,..,208
Bac Trung Bo va Duyen hai mien Trung,3283,230,127,10,2910
Thanh Hoa,687,36,12,1,637
Nghe An,531,28,22,1,480
Ha Tinh,291,16,12,1,262
Quang Binh,173,8,6,..,159
Quang Tri,160,10,7,1,142
Thua Thien Hue,176,14,8,1,152
Da Nang,71,13,..,1,56
Quang Nam,280,24,11,..,244
Quang Ngai,206,18,6,..,182
Binh Dinh,182,17,5,1,159
Phu Yen,126,13,7,1,105
Khanh Hoa,169,13,14,1,140
Ninh Thuan,81,7,7,1,65
Binh Thuan,150,13,10,..,127
Tay Nguyen,836,71,50,3,708
Kon Tum,122,10,13,1,97
Gia Lai,242,19,14,1,208
Dak Lak,206,20,1,..,184
Dak Nong,79,8,..,..,71
Lam Dong,187,14,22,1,148
Dong Nam Bo,1022,108,35,3,872
Binh Phuoc,128,12,4,..,111
Tay Ninh,110,12,2,1,95
Binh Duong,112,8,11,1,91
Dong Nai,197,16,9,..,171
Ba Ria - Vung Tau,98,10,6,..,82
Ho Chi Minh,377,50,3,1,322
Dong bang song Cuu Long,1837,157,102,3,1573
Long An,211,16,5,..,190
Tien Giang,193,11,13,..,169
Ben Tre,185,12,9,..,164
Tra Vinh,119,11,15,..,93
Vinh Long,117,9,6,..,102
Dong Thap,169,16,8,1,144
An Giang,182,15,11,..,156
Kien Giang,158,13,16,..,129
Can Tho,102,16,..,..,85
Hau Giang,92,9,8,1,74
Soc Trang,122,11,2,..,109
Bac Lieu,73,6,2,..,64
Ca Mau,114,12,7,1,94
